Handle,Solved,Penalty
HbFS,5,406
CuSO45H2O,5,548
dafu456,5,573
zkx06111,4,101
Heltion,4,146
shb,4,162
2018szb,4,187
stalin,4,212
KanuaK,4,241
RegisterLogin,4,252
LIN452,4,272
SingleLyra,4,545
Orion_Rigel,3,82
aison,3,129
sj222,3,148
fnoi12bzzhan,3,163
13678238733,3,220
logining,3,221
sui,3,224
fractal128,3,231
Einsgzy,3,232
Dream4Leo,3,255
Touch233,3,329
zhljJoan,3,428
konicy,2,35
lrx903403282,2,50
NCJ,2,51
STYX_HELIX,2,62
chty_syq,2,67
Zeround,2,130
Hitherto,2,141
Cecilia_384,2,150
_juzi,2,153
nessoffice,2,182
XTXTMTXTX,2,219
katsu,2,403
lovestar,2,408
KasuganoSora6,2,431
3180103727,1,40
hemiao,1,53
drmtw01,1,53
291637165,1,74
mmyyen,1,144
Mu437ZOJ,1,204
Peter_H,1,356
